,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
Lasso_scratch_CD,0.984963684951843,0.9830515614316668,4823.164098690853,5095.234980057594,3146.098878484625,3222.854633692421
Lasso_sklearn,0.9850969907451503,0.9830922245110176,4801.736404743166,5089.119007625116,3142.174398783653,3248.815586187986
Lasso_scratch_GD,0.9849636437321472,0.9830515589332709,4823.170709659709,5095.235355605862,3146.119754434905,3222.8772772668017
Lasso_scratch_PGD,0.9849636405923561,0.983051539682938,4823.171213230766,5095.23824923333,3146.1032932595244,3222.856216040015
Tree_scratch,0.9383556011864675,0.9509391997498218,9717.312766776846,8712.216191390675,6181.841111845011,5656.383127403698
Tree_sklearn,0.9291764196282611,0.9569659772653755,10415.696333180676,8159.570559774699,6107.044352154137,5399.659102844899
Linear_scratch,0.9849891300989376,0.9829231777442802,4819.081380144465,5114.496664308272,3147.617743951056,3265.445623274292
Linear_sklearn,0.9850982084734085,0.983102365758858,4801.540225251575,5087.592557312483,3142.681694961013,3246.49992370593
KNN_scratch,0.9260045392812092,0.8730713646304262,10699.509511196917,13943.736787412727,4561.232343390717,6197.609802957413
KNN_sklearn,0.9260045392812092,0.8730713646304262,10699.509511196917,13943.736787412727,4561.232343390717,6197.609802957413
